lemma,gen,phon,freq_lex_books,freq_lex_subtitles,freq_frcow,last_process_broad,last_process_narrow,prefix,compound,conversion,suffix,suffix_broad,sfx_base,sfx_base_pos,autonomous_base,base_stem_phon,sfx_allomorph,der_stem_phon,edit_distance,pattern,pattern_tf,pattern_rel_tf,base_der_sim,offset_sim
berlingue,m,bɛʁ.lɛ̃g,0.34,0,34,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corton,m,kɔʁ.tɔ̃,0.27,0.03,398,suffix,suffix,0,0,0,on,on,cour,N,TRUE,kuʁ,ɔ̃,kɔʁt,2,_u_~_ɔ_tɔ̃,1,0.015625,0.222162783145905,0.158108526129264
dabuche,f,da.byʃ,0.54,0,3,suffix,suffix,0,0,0,uche,Vche,dabe,N,TRUE,UNKNOWN,yʃ,dab,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
faf,m,faf,0.88,0.07,3422,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gail,f,gaj,0.61,0,2471,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kil,m,kil,0.54,0.17,11218,nonconcat,apocope,0,neoclassical,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mirus,m,mi.ʁys,0.54,0.09,52,simplex,antonomasia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rata,m,ʁa.ta,0.27,0.53,510,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sima,m,si.ma,0,0.37,1410,polylexical,acronym,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tex,m,tɛks,0.14,1.7,6080,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
