lexeme,gen
à-côté,m
à-coup,m
à-peu-près,m
à-pic,m
à-plat,m
à-propos,m
à-valoir,m
a,m
aa,m
abaca,m
abaisse-langue,m
abaisse,f
abaissement,m
abalone,m
abandon,m
abandonneur,m
abaque,m
abat-jour,m
abat-son,m
abat,m
abatage,m
abattement,m
abatteur,m
abattoir,m
abattu,m
abatture,f
abbatiale,f
abbaye,f
abc,m
abcès,m
abdication,f
abdo,m
abdomen,m
abdominaux,m
abduction,f
abécédaire,m
abeille,f
aber,m
aberration,f
abêtissement,m
abîme,m
abjection,f
abjuration,f
ablatif,m
able,m
ablution,f
abnégation,f
aboiement,m
abolition,f
abomination,f
abondance,f
abonné,m
abonnée,f
abord,m
abordage,m
abornement,m
abouchement,m
aboulie,f
abouna,m
about,m
abrasif,m
abrasion,f
abraxas,m
abrégé,m
abreuvage,m
abreuvoir,m
abréviation,f
abri-refuge,m
abribus,m
abricot,m
abricotier,m
abricotine,f
abrogation,f
abrupt,m
abruti,m
abrutie,f
abrutissement,m
abrutisseur,m
abscisse,f
abscission,f
absent,m
absente,f
absentéisme,m
abside,f
absidiole,f
absinthe,f
absolu,m
absolution,f
absolutisme,m
absorbant,m
absorbeur,m
absoute,f
abstention,f
abstinence,f
abstraction,f
abstrait,m
absurde,m
abus,m
abuseur,m
abysse,m
abyssin,m
abyssinienne,f
académicien,m
académie,f
académisme,m
acadien,m
acadienne,f
acarien,m
accablement,m
accastillage,m
accélérateur,m
accélération,f
accéléré,m
accent,m
accenteur,m
accentuation,f
acceptant,m
acceptation,f
acception,f
accès,m
accesseur,m
accessibilité,f
accession,f
accessit,m
accessoire,m
accidenté,m
acclamation,f
acclimatation,f
acclimatement,m
accointance,f
accolade,f
accolement,m
accommodation,f
accommodement,m
accompagnateur,m
accompagnatrice,f
accompagnement,m
accompli,m
accomplissement,m
accord,m
accordailles,f
accordé,m
accordée,f
accordement,m
accordéon,m
accordo,m
accostage,m
accotoir,m
accouchée,f
accouchement,m
accoucheur,m
accoucheuse,f
accoudoir,m
accouplement,m
accoutrement,m
accoutumance,f
accra,m
accréditation,f
accrédité,m
accréditif,m
accrétion,f
accro,m
accrochage,m
accroche-coeur,m
accroupissement,m
accrue,f
accu,m
acculturation,f
accumulateur,m
accusateur,m
accusatif,m
accusatrice,f
accusé,m
ace,m
acéphale,m
acerbité,m
acetabulum,m
acétate,m
acétone,f
acétylcholine,f
acétylène,m
achalandage,m
achard,m
achat,m
ache,f
achélème,m
acheminement,m
acheteuse,f
achèvement,m
achillée,f
achondroplasie,f
achoppement,m
acid jazz,m
acidité,f
acidocétose,f
acidose,f
acier,m
aciérie,f
acmé,f
acné,f
acolyte,m
acompte,m
aconier,m
aconit,m
acouphène,m
acoustique,f
acqua-toffana,f
acquéreur,m
acquiescement,m
acquis,m
acquisition,f
acquittement,m
âcreté,f
acrimonie,f
acrobatie,f
acromion,m
acronyme,m
acrophobie,f
acropole,f
acrostiche,m
acrotère,m
acrylique,m
acrylonitrile,m
acteur,m
actine,f
actinie,f
action painting,f
actionnariat,m
actionnement,m
actionneur,m
activateur,m
activation,f
activisme,m
actrice,f
actualisation,f
actualité,f
actuation,f
acuité,f
acumen,m
acuponcteur,m
acuponcture,f
ada,m
adage,m
adaptabilité,f
adaptateur,m
adaptation,f
addenda,m
