phon,gen
akOte,m
aku,m
apØpʁɛ,m
apik,m
apla,m
apʁOpo,m
avalwaʁ,m
a,m
aa,m
abaka,m
abɛslɑ̃g,m
abɛs,f
abɛsəmɑ̃,m
abalɔn,m
abɑ̃dɔ̃,m
abɑ̃dOnœʁ,m
abak,m
abaʒuʁ,m
abasɔ̃,m
aba,m
abataʒ,m
abatəmɑ̃,m
abatœʁ,m
abatwaʁ,m
abaty,m
abatyʁ,f
abasjal,f
abEi,f
abEse,m
apsɛ,m
abdikasjɔ̃,f
abdo,m
abdOmɛn,m
#DEF#,m
abdyksjɔ̃,f
abEsEdɛʁ,m
abɛj,f
abɛʁ,m
abEʁasjɔ̃,f
abEtisəmɑ̃,m
abim,m
abʒEksjɔ̃,f
abʒyʁasjɔ̃,f
ablatif,m
abl,m
ablysjɔ̃,f
abnEgasjɔ̃,f
abwamɑ̃,m
abOlisjɔ̃,f
abOminasjɔ̃,f
abɔ̃dɑ̃s,f
abOne,m
abOne,f
abɔʁ,m
abɔʁdaʒ,m
abɔʁnəmɑ̃,m
abuʃəmɑ̃,m
abuli,f
abuna,m
abu,m
abʁazif,m
abʁazjɔ̃,f
abʁaksas,m
abʁEʒe,m
abʁØvaʒ,m
abʁØvwaʁ,m
abʁEvjasjɔ̃,f
abʁiʁəfyʒ,m
abʁibys,m
abʁiko,m
abʁikOtje,m
abʁikOtin,f
abʁOgasjɔ̃,f
abʁypt,m
abʁyti,m
abʁyti,f
abʁytisəmɑ̃,m
abʁytisœʁ,m
apsis,f
apsisjɔ̃,f
apsɑ̃,m
apsɑ̃t,f
apsɑ̃tEizm,m
apsid,f
apsidjɔl,f
apsɛ̃t,f
apsOly,m
apsOlysjɔ̃,f
apsOlytizm,m
apsɔʁbɑ̃,m
apsɔʁbœʁ,m
apsut,f
apstɑ̃sjɔ̃,f
apstinɑ̃s,f
apstʁaksjɔ̃,f
apstʁɛ,m
apsyʁd,m
aby,m
abyzœʁ,m
abis,m
abisɛ̃,m
abisinjɛn,f
akadEmisjɛ̃,m
akadEmi,f
akadEmizm,m
akadjɛ̃,m
akadjɛn,f
akaʁjɛ̃,m
akabləmɑ̃,m
akastijaʒ,m
aksElEʁatœʁ,m
aksElEʁasjɔ̃,f
aksElEʁe,m
aksɑ̃,m
aksɑ̃tœʁ,m
aksɑ̃tɥasjɔ̃,f
aksEptɑ̃,m
aksEptasjɔ̃,f
aksEpsjɔ̃,f
aksɛ,m
aksEsœʁ,m
aksEsibilite,f
aksEsjɔ̃,f
aksEsit,m
aksEswaʁ,m
aksidɑ̃te,m
aklamasjɔ̃,f
aklimatasjɔ̃,f
aklimatəmɑ̃,m
akwɛ̃tɑ̃s,f
akOlad,f
akɔləmɑ̃,m
akOmOdasjɔ̃,f
akOmɔdəmɑ̃,m
akɔ̃paɲatœʁ,m
akɔ̃paɲatʁis,f
akɔ̃paɲəmɑ̃,m
akɔ̃pli,m
akɔ̃plisəmɑ̃,m
akɔʁ,m
#DEF#,f
akɔʁde,m
akɔʁde,f
akɔʁdəmɑ̃,m
akɔʁdeɔ̃,m
akɔʁdo,m
akOstaʒ,m
akOtwaʁ,m
akuʃe,f
akuʃəmɑ̃,m
akuʃœʁ,m
akuʃøz,f
akudwaʁ,m
akupləmɑ̃,m
akutʁəmɑ̃,m
akutymɑ̃s,f
akʁa,m
akʁEditasjɔ̃,f
akʁEdite,m
akʁEditif,m
akʁEsjɔ̃,f
akʁo,m
akʁOʃaʒ,m
akʁɔʃkœʁ,m
akʁupisəmɑ̃,m
